,peso
VALE3.SA,0.12269369573964826
ITSA4.SA,0.11900181506734872
PETR3.SA,0.10922061912197051
BBAS3.SA,0.05282137766408003
B3SA3.SA,0.049318022210326155
ABEV3.SA,0.04889182071001295
SANB11.SA,0.031373372689429226
WEGE3.SA,0.028558519986683222
LREN3.SA,0.02848815626944489
KLBN11.SA,0.027467754517675812
BBSE3.SA,0.02648853984631838
EQTL3.SA,0.02480183931808238
EGIE3.SA,0.024337587605367493
RENT3.SA,0.023771587536835666
CSAN3.SA,0.021910326440569422
TIMS3.SA,0.020211114673371184
USIM5.SA,0.01987650086002895
MGLU3.SA,0.018854317163819037
RADL3.SA,0.01883794266034276
BPAC11.SA,0.018469909344173637
SBSP3.SA,0.01841409989964422
HAPV3.SA,0.017954666447297193
MOTV3.SA,0.017640834711828927
FLRY3.SA,0.017281523374348105
MULT3.SA,0.017017071825240718
HYPE3.SA,0.016312859513629544
CSNA3.SA,0.015628917906760843
RAIL3.SA,0.015452512132530162
COGN3.SA,0.014785564558600705
SUZB3.SA,0.014117130204590963
