K,TE_medio_oos,TE_max_oos,correlacao_media,retorno_carteira_%,retorno_ibov_%,custo_reducao_%TE
5,0.3871,0.4911,0.9231,9.62,5.73,77.2
8,0.3193,0.3609,0.9312,13.65,5.73,46.1
10,0.3059,0.3391,0.9425,15.19,5.73,40.0
12,0.2702,0.3024,0.9548,11.34,5.73,23.7
15,0.2648,0.3366,0.961,8.07,5.73,21.2
18,0.26,0.3377,0.9668,3.99,5.73,19.0
20,0.2679,0.3474,0.9659,3.34,5.73,22.6
25,0.245,0.2957,0.9698,2.65,5.73,12.1
30,0.2344,0.2797,0.9726,3.22,5.73,7.3
40,0.2236,0.2693,0.9764,4.53,5.73,2.3
54,0.2185,0.26,0.9773,4.57,5.73,0.0
